experiment,requested_qps,successes,failures,duration_s,achieved_rps_json,ttft_mean_s,itl_mean_s,ttft_p50_s,ttft_p90_s,itl_p50_s,itl_p90_s,input_tokens_total,output_tokens_total,input_toks_per_sec_json,output_toks_per_sec_json,total_toks_per_sec_json,total_completed,success_rate,completed_rps_total,completed_rps_successes,completed_rps,output_toks_per_sec,input_toks_per_sec,total_toks_per_sec,input_toks_per_sec_plot,output_toks_per_sec_plot,total_toks_per_sec_plot,norm_time_per_output_token_s
load,2.0,100,0,50.00985173508525,1.6082123695352883,4.876363408174366,0.10331527321985583,2.1309815105050802,10.186704635620119,5.5684708058834076e-05,0.352771532535553,10364841,70558,4630.091658263181,31.68178367984518,4661.773441943026,100,1.0,1.9996060082266416,1.9996060082266416,1.9996060082266416,1410.8820072845538,207255.9833791383,208666.86538642287,4630.091658263181,31.68178367984518,4661.773441943026,0.0007087764921778572
load,5.0,250,0,49.66309246793389,2.416199193879434,13.85634278304875,0.15191843686107456,10.061244077049196,28.028531395830214,4.6261586248874664e-05,0.36779824607074263,10364841,70558,6956.2084847885635,47.444487371016564,7003.652972159581,250,1.0,5.033919306604159,5.033919306604159,5.033919306604159,1420.733113741505,208703.09287912943,210123.82599287093,6956.2084847885635,47.444487371016564,7003.652972159581,0.0007038619641703831
load,8.0,400,0,63.180389823392034,4.088836097552934,20.507290286165663,0.16121550319421038,23.449449751526117,32.080204480886465,5.8848410844802856e-05,0.3716967025771737,10364841,70558,11772.62800252563,79.44608537545352,11852.074087901083,400,1.0,6.331078379195173,6.331078379195173,6.331078379195173,1116.7705706981324,164051.55189723917,165168.3224679373,11772.62800252563,79.44608537545352,11852.074087901083,0.0008954390688992323
load,10.0,500,0,91.11235617101192,3.9683917650764036,26.388839767921716,0.16484023653234287,30.887945069931448,34.52746510524303,5.827564746141434e-05,0.37117154709994793,10364841,70558,11425.698328605618,78.01858210140209,11503.71691070702,500,1.0,5.4877298866196895,5.4877298866196895,5.4877298866196895,774.406490680224,113758.89545152221,114533.30194220244,11425.698328605618,78.01858210140209,11503.71691070702,0.0012913114908445808
load,12.0,600,0,111.00428863242269,4.070857246802549,26.324534487078587,0.16554081776398955,29.590414529666305,34.170716371759774,5.880184471607208e-05,0.3718455521389842,10364841,70558,11720.323682124284,79.53776584044381,11799.861447964728,600,1.0,5.405196568457167,5.405196568457167,5.405196568457167,635.6330991286679,93373.33834300692,94008.97144213559,11720.323682124284,79.53776584044381,11799.861447964728,0.001573234624456797
load,15.0,750,0,152.53670075535774,3.9974505762967514,28.670342659647265,0.16564210343724345,32.56346555240452,34.923912960290906,5.913805216550827e-05,0.3712364690378308,10364841,70558,11509.123913425197,78.24876254748348,11587.372675972681,750,1.0,4.916849494488996,4.916849494488996,4.916849494488996,462.56408884287276,67949.81764174509,68412.38173058796,11509.123913425197,78.24876254748348,11587.372675972681,0.002161862591844408
load,20.0,1000,0,217.13490190543234,3.947910938295047,30.40592397029139,0.1675968671602356,33.41583839431405,35.35757958050817,5.7833269238471985e-05,0.3711470779031515,10364841,70558,11366.560663506232,77.66725188907846,11444.227915395311,1000,1.0,4.605431882321364,4.605431882321364,4.605431882321364,324.9500627528308,47734.56919659165,48059.51925934448,11366.560663506232,77.66725188907846,11444.227915395311,0.0030773959282495585
precise-prefix-cache,2.0,100,0,51.94910170510411,1.5485044205696576,4.7280685582757,0.07053673714535628,1.9413020489737391,15.176194730401066,5.593243986368179e-05,0.35012349411845206,10359301,71160,4455.790500100778,30.768782836719094,4486.559282937497,100,1.0,1.9249611007263054,1.9249611007263054,1.9249611007263054,1369.802319276839,199412.51455715115,200782.316876428,4455.790500100778,30.768782836719094,4486.559282937497,0.0007300323454905019
precise-prefix-cache,5.0,250,0,49.70809047296643,3.8334509030051955,5.996824173822999,0.14067858840815906,3.450021730735898,20.855838140472766,4.848744720220566e-05,0.36904738564044237,10359301,71160,11030.662970575777,74.522285554421,11105.185256130198,250,1.0,5.029362375848286,5.029362375848286,5.029362375848286,1431.557706661456,208402.7147579501,209834.27246461157,11030.662970575777,74.522285554421,11105.185256130198,0.0006985397761799667
precise-prefix-cache,8.0,400,0,63.458321345970035,4.092247026047505,20.682259172475895,0.1529474219035857,22.625587695278227,34.58503857720643,5.9205107390880585e-05,0.37030111998319626,10359301,71160,11775.696582890825,81.25156470217321,11856.948147592997,400,1.0,6.303349844683566,6.303349844683566,6.303349844683566,1121.3659373692062,163245.74587345077,164367.11181081997,11775.696582890825,81.25156470217321,11856.948147592997,0.0008917695523604558
