experiment,requested_qps,successes,failures,duration_s,achieved_rps_json,ttft_mean_s,itl_mean_s,ttft_p50_s,ttft_p90_s,itl_p50_s,itl_p90_s,input_tokens_total,output_tokens_total,input_toks_per_sec_json,output_toks_per_sec_json,total_toks_per_sec_json,total_completed,success_rate,completed_rps_total,completed_rps_successes,completed_rps,output_toks_per_sec,input_toks_per_sec,total_toks_per_sec,input_toks_per_sec_plot,output_toks_per_sec_plot,total_toks_per_sec_plot,norm_time_per_output_token_s
estimate-prefix-cache,3.0,360,0,134.24792740121484,2.5868260381007477,3.886741906326885,0.02305034120056125,2.9212511146906763,10.807391226664185,3.565289080142975e-05,0.08304684590548277,22855745,1030054,10833.08852547466,487.0706004628364,11320.159125937498,360,1.0,2.681605645382517,2.681605645382517,2.681605645382517,7672.773948469009,170250.26339284232,177923.0373413113,10833.08852547466,487.0706004628364,11320.159125937498,0.0001303309607080938
estimate-prefix-cache,4.0,399,1,104.1725576617755,2.9538751712911586,6.874582096159384,0.024640931205635475,3.566612778697163,17.734376751631494,3.6724377423524857e-05,0.08420728947967292,22855745,1030054,12369.18570787357,556.1724965373924,12925.358204410963,400,0.9975,3.8397828466371022,3.8301833895205095,3.8397828466371022,9887.959200774834,219402.74399527928,229290.70319605412,12369.18570787357,556.1724965373924,12925.358204410963,0.00010113310337300325
estimate-prefix-cache,5.0,450,0,90.08762795012444,3.8270463266106876,5.469112466298458,0.025038666664056942,3.019280342385173,14.25010271840729,2.85319983959198e-05,0.08357757646590472,22855745,1030054,16025.799015419218,722.1636418314367,16747.962657250653,450,1.0,4.99513651585027,4.99513651585027,4.99513651585027,11433.911885994741,253705.70321436052,265139.61510035524,16025.799015419218,722.1636418314367,16747.962657250653,8.745913122042576e-05
estimate-prefix-cache,6.0,360,0,60.02227814588696,3.3245142014474673,11.696099155030161,0.022512543037242132,5.469644042197615,32.575684959534584,3.4707365557551384e-05,0.08343432256951928,22855745,1030054,13922.372868536691,627.603637901587,14549.97650643828,360,1.0,5.9977730122972535,5.9977730122972535,5.9977730122972535,17161.194673357873,380787.69593596633,397948.8906093242,13922.372868536691,627.603637901587,14549.97650643828,5.827100146777446e-05
estimate-prefix-cache,8.0,479,1,62.554826945997775,5.476764600709542,5.016233904709133,0.027280518291979926,1.5964425057172775,15.29864325840026,2.1588057279586792e-05,0.08266691146418452,22855745,1030054,22934.231892261847,1033.896532399082,23968.12842466093,480,0.9979166666666667,7.673268769720578,7.657282793116994,7.673268769720578,16466.419144428666,365371.4048274943,381837.823971923,22934.231892261847,1033.896532399082,23968.12842466093,6.07296578101709e-05
estimate-prefix-cache,10.0,500,0,54.465771852992475,6.425634124002265,4.54287613314297,0.026317223655108316,2.1795721470844,13.764026560401543,2.0254170522093773e-05,0.08026249813847244,22855745,1030054,26908.255334305093,1214.4319981681801,28122.687332473273,500,1.0,9.180077376843947,9.180077376843947,9.180077376843947,18911.950844655228,419635.0152108283,438546.9660554835,26908.255334305093,1214.4319981681801,28122.687332473273,5.2876617976331796e-05
estimate-prefix-cache,12.0,600,0,50.087712108157575,8.295310691579397,2.8219409913996545,0.030711361534391565,0.8647671851795167,10.768786084605381,1.7873477190732956e-05,0.03572556688450277,22855745,1030054,34736.24023200761,1568.9059366162307,36305.14616862384,600,1.0,11.978985957761095,11.978985957761095,11.978985957761095,20565.004002892747,456314.4140152806,476879.41801817337,34736.24023200761,1568.9059366162307,36305.14616862384,4.8626297367087136e-05
estimate-prefix-cache,14.0,490,0,35.05358858499676,8.731444978859669,3.9062443886075777,0.026902845472009964,1.6081466323230416,12.450165693322196,1.8377555534243584e-05,0.07995424591936173,22855745,1030054,36563.40696941248,1651.1697033287646,38214.57667274124,490,1.0,13.978597335672623,13.978597335672623,13.978597335672623,29385.12265305904,652022.9717588018,681408.0944118609,36563.40696941248,1651.1697033287646,38214.57667274124,3.40308261362965e-05
estimate-prefix-cache,16.0,480,0,30.090236854273826,8.521403809271476,3.953613272519821,0.026263098168520467,1.2275232044048607,11.790584449004388,1.6195233911275864e-05,0.08001214070245624,22855745,1030054,35684.19508585603,1605.432477666746,37289.62756352277,480,1.0,15.952018002537718,15.952018002537718,15.952018002537718,34232.16656580414,759573.4493779405,793805.6159437447,35684.19508585603,1605.432477666746,37289.62756352277,2.921229067046371e-05
estimate-prefix-cache,18.0,540,0,30.30596818216145,9.245624957701692,4.016560469425491,0.02940863076184875,1.1921516393776983,15.22884729653597,1.6175908967852592e-05,0.08005439275875688,22855745,1030054,38717.28726037019,1744.7864017399047,40462.073662110095,540,1.0,17.81827251827751,17.81827251827751,17.81827251827751,33988.48681581819,754166.4685523307,788154.955368149,38717.28726037019,1744.7864017399047,40462.073662110095,2.942172758142918e-05
estimate-prefix-cache,20.0,600,0,32.368756252806634,11.23064196014667,5.000196338566796,0.026649873520556065,2.3568909589666873,14.593596451776104,1.0425224900245667e-05,0.08254538821056485,22855745,1030054,47027.807829225974,2119.7275167678836,49147.53534599386,600,1.0,18.536393407082954,18.536393407082954,18.536393407082954,31822.47695756571,706105.1348866153,737927.6118441811,47027.807829225974,2119.7275167678836,49147.53534599386,3.142432945535538e-05
load,3.0,360,0,120.09966366831213,1.7283564238036149,31.057509867640004,0.027786665175077847,25.95363088301383,71.08045593146235,3.3520860597491264e-05,0.08439932656474411,22882518,1028830,7251.789873094546,326.01603143002296,7577.805904524569,360,1.0,2.9975104759180495,2.9975104759180495,2.9975104759180495,8566.468619274352,190529.40950106483,199095.87812033918,7251.789873094546,326.01603143002296,7577.805904524569,0.00011673421621483835
load,4.0,394,6,99.95153281511739,2.507306782562977,16.72671943922234,0.02913224325947622,14.694589287042618,39.5284073063638,2.8116395696997643e-05,0.08454561121761799,22882518,1028830,10519.030146597865,470.4763902072676,10989.506536805133,400,0.985,4.001939627478141,3.9419105330659683,4.001939627478141,10293.288867345838,228936.1389017046,239229.42776905044,10519.030146597865,470.4763902072676,10989.506536805133,9.715067874684583e-05
load,5.0,450,0,91.14658442791551,2.8334295489957615,19.55681867065943,0.028815675112078824,15.83932335791178,49.31654633665458,2.7540838345885277e-05,0.08452461641281843,22882518,1028830,11887.345143816381,535.0585395222507,12422.403683338633,450,1.0,4.9371021725546775,4.9371021725546775,4.9371021725546775,11287.641840420953,251051.84295849226,262339.4847989132,11887.345143816381,535.0585395222507,12422.403683338633,8.859246369946008e-05
load,6.0,360,0,60.28801635792479,3.7200972777056114,12.623347095264277,0.029707799703033954,13.516452766489238,25.308157041529196,2.5445595383644104e-05,0.08404967468231916,22882518,1028830,15608.680821761713,701.7343498178685,16310.415171579582,360,1.0,5.971335959417056,5.971335959417056,5.971335959417056,17065.24881979736,379553.3404872446,396618.58930704196,15608.680821761713,701.7343498178685,16310.415171579582,5.859861819535277e-05
load,8.0,480,0,61.75998235307634,3.9011870005253786,18.73788919400637,0.02977040381978157,15.135724457679316,43.54999922900461,2.3119384422898293e-05,0.08458835608325899,22882518,1028830,16368.047748645975,738.738523386987,17106.78627203296,480,1.0,7.772022946118776,7.772022946118776,7.772022946118776,16658.52159928204,370507.19783536653,387165.7194346486,16368.047748645975,738.738523386987,17106.78627203296,6.002933657948965e-05
load,10.0,500,0,50.132497143000364,4.558179504862378,19.100082152627408,0.03404268021354718,15.707484698388726,44.43870285996236,1.903250813484192e-05,0.08413168392144144,22882518,1028830,19123.97885803525,861.7511844712617,19985.73004250651,500,1.0,9.973570607779138,9.973570607779138,9.973570607779138,20522.21729680282,456440.8179135541,476963.03521035693,19123.97885803525,861.7511844712617,19985.73004250651,4.872767818104095e-05
load,12.0,600,0,50.19228527881205,6.125015974488326,12.516464150664397,0.041034187501141184,5.753794780699536,33.25595737551339,1.2641074135899544e-05,0.08410649080760776,22882518,1028830,25697.259520326792,1156.9236423412274,26854.183162668018,600,1.0,11.95402832660583,11.95402832660583,11.95402832660583,20497.771605436457,455897.1139267796,476394.88553221605,25697.259520326792,1156.9236423412274,26854.183162668018,4.8785790926403826e-05
load,14.0,490,0,35.14146636519581,5.581443508149185,13.394045482323106,0.03202059644668368,9.769291699398309,31.317955526849254,1.7713289707899094e-05,0.08390960744582117,22882518,1028830,23418.073917842576,1050.3023705222693,24468.376288364845,490,1.0,13.943641250135684,13.943641250135684,13.943641250135684,29276.80903546346,651154.330391372,680431.1394268355,23418.073917842576,1050.3023705222693,24468.376288364845,3.415672789984333e-05
load,16.0,480,0,30.19569022906944,6.757207455058191,10.762161543619975,0.032988169191367885,7.923154140589759,26.39575689504855,1.4293938875198364e-05,0.0839322918560356,22882518,1028830,28350.933768877025,1276.7180385711197,29627.651807448143,480,1.0,15.896308259842433,15.896308259842433,15.896308259842433,34072.08088952852,757807.4164362357,791879.4973257642,28350.933768877025,1276.7180385711197,29627.651807448143,2.9349542907058932e-05
