experiment,requested_qps,successes,failures,duration_s,achieved_rps_json,ttft_mean_s,itl_mean_s,ttft_p50_s,ttft_p90_s,itl_p50_s,itl_p90_s,input_tokens_total,output_tokens_total,input_toks_per_sec_json,output_toks_per_sec_json,total_toks_per_sec_json,total_completed,success_rate,completed_rps_total,completed_rps_successes,completed_rps,output_toks_per_sec,input_toks_per_sec,total_toks_per_sec,input_toks_per_sec_plot,output_toks_per_sec_plot,total_toks_per_sec_plot,norm_time_per_output_token_s
estimate-prefix-cache,10.0,488,12,174.8721034899354,2.099810199648618,45.342222847162795,0.16920312536630508,51.517085081897676,58.16218766272068,6.220489740371704e-05,0.3781850848346949,22084368,98263,9328.097003876743,41.367982088979126,9369.464985965722,500,0.976,2.8592324906115003,2.790610910836824,2.8592324906115003,561.9135244499157,126288.68504044184,126850.59856489176,9328.097003876743,41.367982088979126,9369.464985965722,0.0017796332647073202
estimate-prefix-cache,15.0,746,4,233.24261097609997,2.542578563970737,48.35509151415825,0.16736279685356692,56.18174931965768,59.240930354222655,6.364099681377411e-05,0.3791198991239071,22084368,98263,11295.538193448036,50.3062461182414,11345.844439566277,750,0.9946666666666667,3.215535947146688,3.1983864220952385,3.215535947146688,421.29094503263326,94684.10556535466,95105.39651038729,11295.538193448036,50.3062461182414,11345.844439566277,0.0023736565235755063
estimate-prefix-cache,20.0,1000,0,338.28446782007813,2.5174463481532494,51.66658102062345,0.1714100500735477,57.16655110102147,59.31009391602129,6.300490349531174e-05,0.3792012585327029,22084368,98263,11184.100291820507,50.061938079375516,11234.162229899883,1000,1.0,2.956091973255673,2.956091973255673,2.956091973255673,290.4744655680222,65283.422979224444,65573.89744479247,11184.100291820507,50.061938079375516,11234.162229899883,0.003442643393953758
estimate-prefix-cache,25.0,1247,3,427.40480630658567,2.5603718088999736,51.353295793629876,0.17142560822127362,56.47116757929325,59.37397708073259,6.298348307609558e-05,0.379525239020586,22084368,98263,11374.933242344618,50.9302507776775,11425.863493122295,1250,0.9976,2.9246278505893804,2.917608743747966,2.9246278505893804,229.90616518597142,51670.84617237191,51900.75233755788,11374.933242344618,50.9302507776775,11425.863493122295,0.0043496006259384065
estimate-prefix-cache,30.0,1490,10,535.6358054187149,2.4995712745809833,53.18709306938561,0.17170819092995018,57.35498693305999,59.43801228888333,6.216205656528473e-05,0.37922100350260735,22084368,98263,11104.952665716219,48.981531594104396,11153.934197310322,1500,0.9933333333333333,2.800410250445126,2.7817408487754918,2.800410250445126,183.45114162632626,41230.19368120155,41413.644822827875,11104.952665716219,48.981531594104396,11153.934197310322,0.0054510426652831165
load,10.0,492,8,135.5224996767938,2.5113228897197266,41.70272134742283,0.16406739952111768,53.378198556602,58.32366482168436,6.348080933094025e-05,0.3783475486561656,22150204,98031,11161.018213044325,48.78704101614054,11209.805254060466,500,0.984,3.6894242741422625,3.6303934857559863,3.6894242741422625,723.3559020368803,163443.00062960607,164166.35653164296,11161.018213044325,48.78704101614054,11209.805254060466,0.0013824453456232602
load,15.0,748,2,243.96098490059376,2.470538744367488,50.610468950145005,0.17068686496074773,56.64527674391866,59.317825190909204,6.236881017684937e-05,0.37881827652454375,22150204,98031,10979.88007763439,48.53882003639653,11028.418897670788,750,0.9973333333333333,3.0742620599994743,3.0660640278394755,3.0742620599994743,401.8306453384113,90794.04237126479,91195.8730166032,10979.88007763439,48.53882003639653,11028.418897670788,0.0024886105915536286
load,20.0,997,3,340.33010433986783,2.4976148388497728,51.849331018284204,0.17070038220055145,56.569089917466044,59.403349773958325,6.354227662086487e-05,0.3789524681866169,22150204,98031,11100.064203359218,49.0028524200004,11149.067055779218,1000,0.997,2.938323666487518,2.9295086954880554,2.938323666487518,288.04680734943787,65084.468630726486,65372.51543807593,11100.064203359218,49.0028524200004,11149.067055779218,0.0034716579892061475
load,25.0,1250,0,434.4030619747937,2.532981553266088,52.2629664346084,0.17169720351474313,56.72367436718196,59.4070997832343,6.312783807516098e-05,0.37930416464805605,22150204,98031,11257.40489343445,50.04968910729528,11307.454582541746,1250,1.0,2.8775119455132465,2.8775119455132465,2.8775119455132465,225.66829882448727,50989.981284444235,51215.64958326872,11257.40489343445,50.04968910729528,11307.454582541746,0.004431282573622565
load,30.0,1497,3,547.3584809470922,2.4636440682056207,54.468254947625525,0.17182392098491142,57.648590471595526,59.56208226755261,6.285682320594788e-05,0.37895814403891565,22150204,98031,10948.84566931089,48.57674145706434,10997.422410767955,1500,0.998,2.7404343811473533,2.734953512385059,2.7404343811473533,179.09834854550414,40467.453727351756,40646.55207589726,10948.84566931089,48.57674145706434,10997.422410767955,0.00558352440500548
precise-prefix-cache,10.0,496,4,124.40192110650241,2.7596765503941243,37.2640761702712,0.16278405827111078,46.277554765343666,54.99411534704268,6.155576556921005e-05,0.3802249785512686,21900608,96809,12272.253800282606,53.835948188736985,12326.089748471342,500,0.992,4.0192305356116025,3.9870766913267097,4.0192305356116025,778.1953778440472,176047.18484411947,176825.3802219635,12272.253800282606,53.835948188736985,12326.089748471342,0.0012850243376804058
precise-prefix-cache,15.0,743,7,211.56809820607305,2.7092927204667965,43.68356727999742,0.1648767974696166,48.77116288803518,58.702611919865014,6.0634687542915344e-05,0.3813622370362282,21900608,96809,12047.958538994451,53.10651302944606,12101.065052023898,750,0.9906666666666667,3.5449578946892064,3.5118716210054406,3.5449578946892064,457.5784384359565,103515.6443041248,103973.22274256076,12047.958538994451,53.10651302944606,12101.065052023898,0.00218541765957786
precise-prefix-cache,20.0,997,3,319.72483894228935,2.6232655824605864,48.6236842453775,0.16789586482330848,55.43029493838549,59.02356185428798,6.0034915804862976e-05,0.3799039576202631,21900608,96809,11664.99109964202,51.56808640987466,11716.559186051894,1000,0.997,3.127689432288684,3.118306363991818,3.127689432288684,302.78848625043526,68498.30020229702,68801.08868854745,11664.99109964202,51.56808640987466,11716.559186051894,0.0033026354878398635
precise-prefix-cache,25.0,1221,29,418.6745212338865,2.5603707218611538,49.95306867953576,0.16839168947268554,55.74300658330321,59.64838962815702,6.032921373844147e-05,0.38007409311831,21900608,96809,11385.712772738936,50.51122845879727,11436.224001197734,1250,0.9768,2.9856127769994045,2.9163465605730186,2.9856127769994045,231.22734986282828,52309.3880550843,52540.61540494713,11385.712772738936,50.51122845879727,11436.224001197734,0.004324747918415504
precise-prefix-cache,30.0,1468,32,534.1161979436874,2.4711143300839273,52.75553652765965,0.17109769886794565,56.593866187147796,59.57353180442006,5.9884972870349884e-05,0.3795532764866948,21900608,96809,10988.351897883229,48.61765945605176,11036.96955733928,1500,0.9786666666666667,2.808377663465183,2.7484656066445923,2.808377663465183,181.25082214826725,41003.45221567126,41184.70303781953,10988.351897883229,48.61765945605176,11036.96955733928,0.0055172163532697105
random-routing,10.0,397,103,135.14463359862566,1.967398380228126,33.87500379289916,0.1677403797710164,37.10302466712892,49.481927337870005,6.406567990779877e-05,0.37829972617328167,16696227,73715,8751.543029558447,38.83753427165699,8790.380563830104,500,0.794,3.699739950348163,2.9375935205764416,3.699739950348163,545.4526608798296,123543.39610396333,124088.84876484316,8751.543029558447,38.83753427165699,8790.380563830104,0.0018333396676202356
random-routing,15.0,563,187,235.204671677202,1.8549593419271595,43.595012125838714,0.1702500984445651,46.39678983017802,59.38608318977058,6.359070539474487e-05,0.3790676936507225,16696227,73715,8249.452283195731,36.440231477290205,8285.89251467302,750,0.7506666666666667,3.188712174175307,2.393659938747597,3.188712174175307,313.40789055911034,70985.94973025928,71299.3576208184,8249.452283195731,36.440231477290205,8285.89251467302,0.003190730131956888
random-routing,20.0,716,284,330.34471512027085,1.8015249191807248,44.71636109913611,0.17034779928192154,47.55355848558247,60.30952843558043,6.324984133243561e-05,0.3790394850075245,16696227,73715,8012.90103773521,35.53231132495837,8048.4333490601675,1000,0.716,3.0271409053295226,2.1674328882159384,3.0271409053295226,223.14569183636578,50541.831716367225,50764.977408203595,8012.90103773521,35.53231132495837,8048.4333490601675,0.004481377129760169
random-routing,25.0,1029,221,435.68832078017294,2.046743757074739,49.74836222866715,0.17120716926514412,52.895196659490466,60.108631208166486,6.387569010257721e-05,0.3790859434753656,16696227,73715,9102.66312304574,40.075600794501305,9142.738723840243,1250,0.8232,2.869023428862324,2.3617800866394654,2.869023428862324,169.19204964686898,38321.49314928297,38490.68519892984,9102.66312304574,40.075600794501305,9142.738723840243,0.005910443203963548
random-routing,30.0,1049,451,504.60499970056117,1.8422505156885924,43.91609619462328,0.17178385263492207,46.100645856931806,60.07091645374894,6.36167824268341e-05,0.379717992991209,16696227,73715,8193.438145773356,36.08633326631954,8229.524479039675,1500,0.6993333333333334,2.972622151762504,2.078853758132578,2.972622151762504,146.08456127811533,33087.71615403682,33233.80071531493,8193.438145773356,36.08633326631954,8229.524479039675,0.006845350331690445
